Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1765181703584,-0.15,-0.13,158.44,4.785,-1.729,980.107,0.00,0.46,0.09
1765181703595,-0.15,-0.11,158.44,1.855,-3.682,975.225,0.32,0.27,0.03
1765181703604,-0.16,-0.09,158.44,0.879,-3.682,982.549,0.00,0.21,-0.03
1765181703614,-0.14,-0.07,158.44,1.367,-1.729,977.666,0.32,0.27,0.03
1765181703624,-0.14,-0.08,158.44,2.344,-3.193,976.201,0.07,0.09,0.03
1765181703633,-0.15,-0.06,158.44,0.391,-2.705,979.131,0.00,0.27,-0.03
1765181703643,-0.13,-0.05,158.45,2.344,-2.217,978.154,0.19,0.46,0.15
1765181703653,-0.15,-0.08,158.44,3.320,-3.193,975.713,-0.06,0.15,-0.10
1765181703662,-0.14,-0.09,158.43,3.320,-1.729,979.619,0.00,0.15,-0.28
1765181703672,-0.13,-0.11,158.44,3.809,-2.705,978.643,0.19,0.21,0.09
1765181703681,-0.11,-0.09,158.44,1.367,-0.752,978.154,0.07,0.34,0.15
1765181703760,-0.15,-0.10,158.44,2.832,-4.658,979.619,-0.06,0.09,-0.10
1765181703763,-0.14,-0.07,158.44,2.344,-1.729,979.131,0.00,0.71,0.09
1765181703765,-0.14,-0.07,158.44,4.297,-2.217,978.154,-0.06,0.84,0.03
1765181703769,-0.11,-0.10,158.45,3.809,0.225,984.990,-0.18,0.09,0.09
1765181703772,-0.10,-0.11,158.44,3.320,-1.729,977.666,0.25,0.27,-0.10
1765181703775,-0.11,-0.09,158.44,1.367,-3.193,979.619,0.19,0.27,-0.03
1765181703777,-0.12,-0.10,158.46,3.320,-3.682,981.572,0.19,0.27,0.28
1765181703781,-0.15,-0.09,158.45,2.344,-4.170,978.154,-0.12,0.27,-0.10
1765181703784,-0.16,-0.12,158.45,3.320,-2.705,976.689,-0.12,-0.04,0.09
1765181703787,-0.16,-0.15,158.47,5.273,-2.705,978.154,0.07,0.15,0.22
1765181703790,-0.19,-0.15,158.46,2.832,-5.146,981.084,-0.06,0.02,-0.10
1765181703797,-0.17,-0.15,158.46,3.320,-2.217,977.178,0.25,0.21,-0.10
1765181703807,-0.16,-0.12,158.45,1.367,-3.193,977.178,0.13,0.27,-0.16
1765181703817,-0.15,-0.10,158.46,1.367,-2.217,978.154,0.13,0.34,0.15
1765181703826,-0.15,-0.14,158.46,5.273,-3.682,978.643,0.19,0.09,0.09
1765181703835,-0.19,-0.17,158.46,5.273,-4.170,976.689,-0.25,0.15,0.03
1765181703845,-0.16,-0.17,158.46,3.320,-2.705,980.596,0.32,0.09,0.03
1765181703855,-0.18,-0.16,158.46,2.832,-3.682,979.619,-0.18,0.27,-0.16
1765181703864,-0.15,-0.15,158.47,3.809,-0.264,976.689,0.00,0.34,0.34
1765181703874,-0.14,-0.16,158.46,4.297,-2.705,979.619,0.19,0.27,-0.22
1765181703884,-0.16,-0.16,158.48,3.809,-4.658,979.131,0.19,0.21,0.34
1765181703893,-0.16,-0.16,158.47,4.785,-2.217,975.713,-0.06,0.52,-0.22
1765181703903,-0.12,-0.16,158.46,3.320,0.225,976.201,-0.06,0.15,-0.22
1765181703913,-0.13,-0.16,158.46,3.809,-3.193,978.643,0.19,0.27,0.09
1765181703922,-0.11,-0.17,158.46,3.320,-0.752,977.666,-0.12,0.09,0.03
1765181703932,-0.17,-0.16,158.47,3.809,-5.146,979.131,-0.25,0.34,0.22
1765181703942,-0.14,-0.13,158.46,1.855,-1.729,981.084,0.32,0.34,-0.22
1765181703951,-0.15,-0.15,158.46,3.809,-3.193,978.154,0.00,0.09,-0.10
1765181703961,-0.16,-0.16,158.45,3.809,-3.193,980.107,0.00,0.09,-0.10
